path:pfre00010	Glycolysis / Gluconeogenesis - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre00550	Peptidoglycan biosynthesis - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre00561	Glycerolipid metabolism - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre00562	Inositol phosphate metabolism - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre00564	Glycerophospholipid metabolism - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre00620	Pyruvate metabolism - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre00625	Chloroalkane and chloroalkene degradation - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre00626	Naphthalene degradation - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre00627	Aminobenzoate degradation - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre00630	Glyoxylate and dicarboxylate metabolism - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre00640	Propanoate metabolism - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre00650	Butanoate metabolism - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre00660	C5-Branched dibasic acid metabolism - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre00670	One carbon pool by folate - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre00680	Methane metabolism - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre00730	Thiamine metabolism - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre00740	Riboflavin metabolism - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre00750	Vitamin B6 metabolism - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre00760	Nicotinate and nicotinamide metabolism - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre00770	Pantothenate and CoA biosynthesis - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre00780	Biotin metabolism - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre00785	Lipoic acid metabolism - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre00790	Folate biosynthesis - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre00860	Porphyrin and chlorophyll metabolism - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre00900	Terpenoid backbone biosynthesis - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre00903	Limonene and pinene degradation - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre00910	Nitrogen metabolism - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre00920	Sulfur metabolism - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre00970	Aminoacyl-tRNA biosynthesis - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre01040	Biosynthesis of unsaturated fatty acids - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre01054	Nonribosomal peptide structures - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre01100	Metabolic pathways - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre01110	Biosynthesis of secondary metabolites - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre01120	Microbial metabolism in diverse environments - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre01130	Biosynthesis of antibiotics - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre01200	Carbon metabolism - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre01210	2-Oxocarboxylic acid metabolism - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre01212	Fatty acid metabolism - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre01220	Degradation of aromatic compounds - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre01230	Biosynthesis of amino acids - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre01501	beta-Lactam resistance - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre01502	Vancomycin resistance - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre01503	Cationic antimicrobial peptide (CAMP) resistance - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre02010	ABC transporters - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre02020	Two-component system - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre02024	Quorum sensing - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre02060	Phosphotransferase system (PTS) - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre03010	Ribosome - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre03018	RNA degradation - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre03020	RNA polymerase - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre03030	DNA replication - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre03050	Proteasome - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre03060	Protein export - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre03070	Bacterial secretion system - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre03410	Base excision repair - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre03420	Nucleotide excision repair - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre03430	Mismatch repair - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre03440	Homologous recombination - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
path:pfre04122	Sulfur relay system - Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
