path:senq00010	Glycolysis / Gluconeogenesis - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq00380	Tryptophan metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq00400	Phenylalanine, tyrosine and tryptophan biosynthesis - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq00401	Novobiocin biosynthesis - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq00410	beta-Alanine metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq00430	Taurine and hypotaurine metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq00440	Phosphonate and phosphinate metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq00450	Selenocompound metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq00460	Cyanoamino acid metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq00471	D-Glutamine and D-glutamate metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq00473	D-Alanine metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq00480	Glutathione metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq00500	Starch and sucrose metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq00520	Amino sugar and nucleotide sugar metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq00521	Streptomycin biosynthesis - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq00523	Polyketide sugar unit biosynthesis - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq00525	Acarbose and validamycin biosynthesis - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq00540	Lipopolysaccharide biosynthesis - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq00550	Peptidoglycan biosynthesis - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq00561	Glycerolipid metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq00562	Inositol phosphate metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq00564	Glycerophospholipid metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq00565	Ether lipid metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq00590	Arachidonic acid metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq00592	alpha-Linolenic acid metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq00600	Sphingolipid metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq00620	Pyruvate metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq00623	Toluene degradation - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq00624	Polycyclic aromatic hydrocarbon degradation - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq00625	Chloroalkane and chloroalkene degradation - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq00626	Naphthalene degradation - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq00627	Aminobenzoate degradation - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq00630	Glyoxylate and dicarboxylate metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq00633	Nitrotoluene degradation - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq00640	Propanoate metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq00650	Butanoate metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq00660	C5-Branched dibasic acid metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq00670	One carbon pool by folate - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq00680	Methane metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq00730	Thiamine metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq00740	Riboflavin metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq00750	Vitamin B6 metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq00760	Nicotinate and nicotinamide metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq00770	Pantothenate and CoA biosynthesis - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq00780	Biotin metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq00785	Lipoic acid metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq00790	Folate biosynthesis - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq00860	Porphyrin and chlorophyll metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq00900	Terpenoid backbone biosynthesis - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq00903	Limonene and pinene degradation - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq00910	Nitrogen metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq00920	Sulfur metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq00930	Caprolactam degradation - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq00970	Aminoacyl-tRNA biosynthesis - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq01040	Biosynthesis of unsaturated fatty acids - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq01053	Biosynthesis of siderophore group nonribosomal peptides - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq01054	Nonribosomal peptide structures - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq01100	Metabolic pathways - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq01110	Biosynthesis of secondary metabolites - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq01120	Microbial metabolism in diverse environments - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq01130	Biosynthesis of antibiotics - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq01200	Carbon metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq01210	2-Oxocarboxylic acid metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq01212	Fatty acid metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq01220	Degradation of aromatic compounds - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq01230	Biosynthesis of amino acids - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq01501	beta-Lactam resistance - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq01502	Vancomycin resistance - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq01503	Cationic antimicrobial peptide (CAMP) resistance - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq02010	ABC transporters - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq02020	Two-component system - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq02024	Quorum sensing - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq02030	Bacterial chemotaxis - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq02040	Flagellar assembly - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq02060	Phosphotransferase system (PTS) - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq03010	Ribosome - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq03018	RNA degradation - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq03020	RNA polymerase - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq03030	DNA replication - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq03060	Protein export - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq03070	Bacterial secretion system - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq03410	Base excision repair - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq03420	Nucleotide excision repair - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq03430	Mismatch repair - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq03440	Homologous recombination - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq04122	Sulfur relay system - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq05100	Bacterial invasion of epithelial cells - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
path:senq05132	Salmonella infection - Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
