path:senn00010	Glycolysis / Gluconeogenesis - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn00670	One carbon pool by folate - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn00680	Methane metabolism - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn00730	Thiamine metabolism - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn00740	Riboflavin metabolism - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn00750	Vitamin B6 metabolism - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn00760	Nicotinate and nicotinamide metabolism - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn00770	Pantothenate and CoA biosynthesis - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn00780	Biotin metabolism - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn00785	Lipoic acid metabolism - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn00790	Folate biosynthesis - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn00860	Porphyrin and chlorophyll metabolism - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn00900	Terpenoid backbone biosynthesis - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn00903	Limonene and pinene degradation - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn00910	Nitrogen metabolism - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn00920	Sulfur metabolism - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn00930	Caprolactam degradation - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn00970	Aminoacyl-tRNA biosynthesis - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn01040	Biosynthesis of unsaturated fatty acids - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn01053	Biosynthesis of siderophore group nonribosomal peptides - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn01054	Nonribosomal peptide structures - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn01100	Metabolic pathways - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn01110	Biosynthesis of secondary metabolites - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn01120	Microbial metabolism in diverse environments - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn01130	Biosynthesis of antibiotics - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn01200	Carbon metabolism - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn01210	2-Oxocarboxylic acid metabolism - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn01212	Fatty acid metabolism - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn01220	Degradation of aromatic compounds - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn01230	Biosynthesis of amino acids - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn01501	beta-Lactam resistance - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn01502	Vancomycin resistance - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn01503	Cationic antimicrobial peptide (CAMP) resistance - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn02010	ABC transporters - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn02020	Two-component system - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn02024	Quorum sensing - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn02030	Bacterial chemotaxis - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn02040	Flagellar assembly - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn02060	Phosphotransferase system (PTS) - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn03010	Ribosome - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn03018	RNA degradation - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn03020	RNA polymerase - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn03030	DNA replication - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn03060	Protein export - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn03070	Bacterial secretion system - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn03410	Base excision repair - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn03420	Nucleotide excision repair - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn03430	Mismatch repair - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn03440	Homologous recombination - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn04122	Sulfur relay system - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn05100	Bacterial invasion of epithelial cells - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
path:senn05132	Salmonella infection - Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
