path:spt00010	Glycolysis / Gluconeogenesis - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt00380	Tryptophan metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt00400	Phenylalanine, tyrosine and tryptophan biosynthesis - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt00401	Novobiocin biosynthesis - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt00410	beta-Alanine metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt00430	Taurine and hypotaurine metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt00440	Phosphonate and phosphinate metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt00450	Selenocompound metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt00460	Cyanoamino acid metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt00471	D-Glutamine and D-glutamate metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt00473	D-Alanine metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt00480	Glutathione metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt00500	Starch and sucrose metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt00520	Amino sugar and nucleotide sugar metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt00521	Streptomycin biosynthesis - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt00523	Polyketide sugar unit biosynthesis - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt00525	Acarbose and validamycin biosynthesis - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt00540	Lipopolysaccharide biosynthesis - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt00550	Peptidoglycan biosynthesis - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt00561	Glycerolipid metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt00562	Inositol phosphate metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt00564	Glycerophospholipid metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt00565	Ether lipid metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt00590	Arachidonic acid metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt00592	alpha-Linolenic acid metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt00620	Pyruvate metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt00623	Toluene degradation - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt00624	Polycyclic aromatic hydrocarbon degradation - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt00625	Chloroalkane and chloroalkene degradation - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt00626	Naphthalene degradation - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt00627	Aminobenzoate degradation - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt00630	Glyoxylate and dicarboxylate metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt00633	Nitrotoluene degradation - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt00640	Propanoate metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt00650	Butanoate metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt00660	C5-Branched dibasic acid metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt00670	One carbon pool by folate - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt00680	Methane metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt00730	Thiamine metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt00740	Riboflavin metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt00750	Vitamin B6 metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt00760	Nicotinate and nicotinamide metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt00770	Pantothenate and CoA biosynthesis - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt00780	Biotin metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt00785	Lipoic acid metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt00790	Folate biosynthesis - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt00860	Porphyrin and chlorophyll metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt00900	Terpenoid backbone biosynthesis - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt00903	Limonene and pinene degradation - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt00910	Nitrogen metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt00920	Sulfur metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt00930	Caprolactam degradation - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt00970	Aminoacyl-tRNA biosynthesis - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt01040	Biosynthesis of unsaturated fatty acids - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt01053	Biosynthesis of siderophore group nonribosomal peptides - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt01054	Nonribosomal peptide structures - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt01100	Metabolic pathways - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt01110	Biosynthesis of secondary metabolites - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt01120	Microbial metabolism in diverse environments - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt01130	Biosynthesis of antibiotics - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt01200	Carbon metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt01210	2-Oxocarboxylic acid metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt01212	Fatty acid metabolism - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt01220	Degradation of aromatic compounds - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt01230	Biosynthesis of amino acids - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt01501	beta-Lactam resistance - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt01502	Vancomycin resistance - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt01503	Cationic antimicrobial peptide (CAMP) resistance - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt02010	ABC transporters - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt02020	Two-component system - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt02024	Quorum sensing - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt02030	Bacterial chemotaxis - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt02040	Flagellar assembly - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt02060	Phosphotransferase system (PTS) - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt03010	Ribosome - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt03018	RNA degradation - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt03020	RNA polymerase - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt03030	DNA replication - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt03060	Protein export - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt03070	Bacterial secretion system - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt03410	Base excision repair - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt03420	Nucleotide excision repair - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt03430	Mismatch repair - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt03440	Homologous recombination - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt04122	Sulfur relay system - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt05100	Bacterial invasion of epithelial cells - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
path:spt05132	Salmonella infection - Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
