path:sne00010	Glycolysis / Gluconeogenesis - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
path:sne00500	Starch and sucrose metabolism - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
path:sne00511	Other glycan degradation - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
path:sne00520	Amino sugar and nucleotide sugar metabolism - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
path:sne00521	Streptomycin biosynthesis - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
path:sne00523	Polyketide sugar unit biosynthesis - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
path:sne00525	Acarbose and validamycin biosynthesis - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
path:sne00550	Peptidoglycan biosynthesis - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
path:sne00561	Glycerolipid metabolism - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
path:sne00562	Inositol phosphate metabolism - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
path:sne00564	Glycerophospholipid metabolism - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
path:sne00590	Arachidonic acid metabolism - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
path:sne00600	Sphingolipid metabolism - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
path:sne00620	Pyruvate metabolism - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
path:sne00622	Xylene degradation - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
path:sne00625	Chloroalkane and chloroalkene degradation - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
path:sne00626	Naphthalene degradation - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
path:sne00627	Aminobenzoate degradation - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
path:sne00630	Glyoxylate and dicarboxylate metabolism - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
path:sne00640	Propanoate metabolism - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
path:sne00650	Butanoate metabolism - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
path:sne00660	C5-Branched dibasic acid metabolism - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
path:sne00670	One carbon pool by folate - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
path:sne00680	Methane metabolism - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
path:sne00730	Thiamine metabolism - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
path:sne00740	Riboflavin metabolism - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
path:sne00750	Vitamin B6 metabolism - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
path:sne00760	Nicotinate and nicotinamide metabolism - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
path:sne00770	Pantothenate and CoA biosynthesis - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
path:sne00780	Biotin metabolism - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
path:sne00790	Folate biosynthesis - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
path:sne00860	Porphyrin and chlorophyll metabolism - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
path:sne00900	Terpenoid backbone biosynthesis - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
path:sne00910	Nitrogen metabolism - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
path:sne00920	Sulfur metabolism - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
path:sne00970	Aminoacyl-tRNA biosynthesis - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
path:sne01040	Biosynthesis of unsaturated fatty acids - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
path:sne01100	Metabolic pathways - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
path:sne01110	Biosynthesis of secondary metabolites - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
path:sne01120	Microbial metabolism in diverse environments - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
path:sne01130	Biosynthesis of antibiotics - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
path:sne01200	Carbon metabolism - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
path:sne01210	2-Oxocarboxylic acid metabolism - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
path:sne01212	Fatty acid metabolism - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
path:sne01220	Degradation of aromatic compounds - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
path:sne01230	Biosynthesis of amino acids - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
path:sne01501	beta-Lactam resistance - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
path:sne01502	Vancomycin resistance - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
path:sne01503	Cationic antimicrobial peptide (CAMP) resistance - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
path:sne02010	ABC transporters - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
path:sne02020	Two-component system - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
path:sne02024	Quorum sensing - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
path:sne02060	Phosphotransferase system (PTS) - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
path:sne03010	Ribosome - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
path:sne03018	RNA degradation - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
path:sne03020	RNA polymerase - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
path:sne03030	DNA replication - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
path:sne03060	Protein export - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
path:sne03070	Bacterial secretion system - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
path:sne03410	Base excision repair - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
path:sne03420	Nucleotide excision repair - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
path:sne03430	Mismatch repair - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
path:sne03440	Homologous recombination - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
path:sne04122	Sulfur relay system - Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
