path:sek00010	Glycolysis / Gluconeogenesis - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek03018	RNA degradation - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek03020	RNA polymerase - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek03030	DNA replication - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek03060	Protein export - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek03070	Bacterial secretion system - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek03410	Base excision repair - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek03420	Nucleotide excision repair - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek03430	Mismatch repair - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek03440	Homologous recombination - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek04122	Sulfur relay system - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek05100	Bacterial invasion of epithelial cells - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
path:sek05132	Salmonella infection - Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
