path:sena00010	Glycolysis / Gluconeogenesis - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena00450	Selenocompound metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena00460	Cyanoamino acid metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena00471	D-Glutamine and D-glutamate metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena00473	D-Alanine metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena00480	Glutathione metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena00500	Starch and sucrose metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena00520	Amino sugar and nucleotide sugar metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena00521	Streptomycin biosynthesis - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena00523	Polyketide sugar unit biosynthesis - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena00525	Acarbose and validamycin biosynthesis - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena00540	Lipopolysaccharide biosynthesis - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena00550	Peptidoglycan biosynthesis - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena00561	Glycerolipid metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena00562	Inositol phosphate metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena00564	Glycerophospholipid metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena00565	Ether lipid metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena00590	Arachidonic acid metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena00592	alpha-Linolenic acid metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena00600	Sphingolipid metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena00620	Pyruvate metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena00623	Toluene degradation - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena00624	Polycyclic aromatic hydrocarbon degradation - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena00625	Chloroalkane and chloroalkene degradation - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena00626	Naphthalene degradation - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena00627	Aminobenzoate degradation - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena00630	Glyoxylate and dicarboxylate metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena00633	Nitrotoluene degradation - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena00640	Propanoate metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena00650	Butanoate metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena00660	C5-Branched dibasic acid metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena00670	One carbon pool by folate - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena00680	Methane metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena00730	Thiamine metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena00740	Riboflavin metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena00750	Vitamin B6 metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena00760	Nicotinate and nicotinamide metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena00770	Pantothenate and CoA biosynthesis - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena00780	Biotin metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena00785	Lipoic acid metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena00790	Folate biosynthesis - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena00860	Porphyrin and chlorophyll metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena00900	Terpenoid backbone biosynthesis - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena00903	Limonene and pinene degradation - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena00910	Nitrogen metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena00920	Sulfur metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena00930	Caprolactam degradation - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena00970	Aminoacyl-tRNA biosynthesis - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena01040	Biosynthesis of unsaturated fatty acids - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena01053	Biosynthesis of siderophore group nonribosomal peptides - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena01054	Nonribosomal peptide structures - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena01100	Metabolic pathways - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena01110	Biosynthesis of secondary metabolites - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena01120	Microbial metabolism in diverse environments - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena01130	Biosynthesis of antibiotics - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena01200	Carbon metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena01210	2-Oxocarboxylic acid metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena01212	Fatty acid metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena01220	Degradation of aromatic compounds - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena01230	Biosynthesis of amino acids - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena01501	beta-Lactam resistance - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena01502	Vancomycin resistance - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena01503	Cationic antimicrobial peptide (CAMP) resistance - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena02010	ABC transporters - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena02020	Two-component system - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena02024	Quorum sensing - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena02030	Bacterial chemotaxis - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena02040	Flagellar assembly - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena02060	Phosphotransferase system (PTS) - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena03010	Ribosome - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena03018	RNA degradation - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena03020	RNA polymerase - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena03030	DNA replication - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena03060	Protein export - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena03070	Bacterial secretion system - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena03410	Base excision repair - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena03420	Nucleotide excision repair - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena03430	Mismatch repair - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena03440	Homologous recombination - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena04122	Sulfur relay system - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena05100	Bacterial invasion of epithelial cells - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
path:sena05132	Salmonella infection - Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
