path:senv00010	Glycolysis / Gluconeogenesis - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv01210	2-Oxocarboxylic acid metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv01212	Fatty acid metabolism - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv01220	Degradation of aromatic compounds - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv01230	Biosynthesis of amino acids - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv01501	beta-Lactam resistance - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv01502	Vancomycin resistance - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv01503	Cationic antimicrobial peptide (CAMP) resistance - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv02010	ABC transporters - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv02020	Two-component system - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv02024	Quorum sensing - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv02030	Bacterial chemotaxis - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv02040	Flagellar assembly - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv02060	Phosphotransferase system (PTS) - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv03010	Ribosome - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv03018	RNA degradation - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv03020	RNA polymerase - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv03030	DNA replication - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv03060	Protein export - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv03070	Bacterial secretion system - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv03410	Base excision repair - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv03420	Nucleotide excision repair - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv03430	Mismatch repair - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv03440	Homologous recombination - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv04122	Sulfur relay system - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv05100	Bacterial invasion of epithelial cells - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
path:senv05132	Salmonella infection - Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
