cpd:C00001	H2O; Water
cpd:C00105	UMP; Uridylic acid; Uridine monophosphate; Uridine 5'-monophosphate; 5'Uridylic acid
cpd:C00106	Uracil
cpd:C00107	Dipeptide
cpd:C00108	Anthranilate; Anthranilic acid; o-Aminobenzoic acid; Vitamin L1; 2-Aminobenzoate
cpd:C00109	2-Oxobutanoate; 2-Ketobutyric acid; 2-Oxobutyric acid; 2-Oxobutyrate; 2-Oxobutanoic acid; alpha-Ketobutyric acid; alpha-Ketobutyrate
cpd:C00110	Dolichyl phosphate; Dolichol phosphate
cpd:C00111	Glycerone phosphate; Dihydroxyacetone phosphate; 3-Hydroxy-2-oxopropyl phosphate
cpd:C00112	CDP; Cytidine 5'-diphosphate; Cytidine diphosphate
cpd:C00113	PQQ; Pyrrolo-quinoline quinone; Pyrroloquinoline-quinone; Pyrroloquinoline quinone; 4,5-Dioxo-4,5-dihydro-1H-pyrrolo[2,3-f]quinoline-2,7,9-tricarboxylate; Methoxatin
cpd:C00114	Choline; Bilineurine
cpd:C00116	Glycerol; Glycerin; 1,2,3-Trihydroxypropane; 1,2,3-Propanetriol
cpd:C00117	D-Ribose 5-phosphate; Ribose 5-phosphate
cpd:C00118	D-Glyceraldehyde 3-phosphate; (2R)-2-Hydroxy-3-(phosphonooxy)-propanal; Glyceraldehyde 3-phosphate
cpd:C00119	5-Phospho-alpha-D-ribose 1-diphosphate; 5-Phosphoribosyl diphosphate; 5-Phosphoribosyl 1-pyrophosphate; PRPP
cpd:C00120	Biotin; D-Biotin; Vitamin H; Coenzyme R
cpd:C00121	D-Ribose
cpd:C00122	Fumarate; Fumaric acid; trans-Butenedioic acid
cpd:C00123	L-Leucine; 2-Amino-4-methylvaleric acid; (2S)-alpha-2-Amino-4-methylvaleric acid; (2S)-alpha-Leucine
cpd:C00124	D-Galactose; D-Galactopyranose
cpd:C00125	Ferricytochrome c; Cytochrome c3+
cpd:C00126	Ferrocytochrome c; Cytochrome c2+; Reduced cytochrome c
cpd:C00127	Glutathione disulfide; GSSG; Oxiglutatione; Oxidized glutathione
cpd:C00128	CMP-N-acetylneuraminate; CMP-N-acetyl-beta-neuraminate
cpd:C00129	Isopentenyl diphosphate; Delta3-Isopentenyl diphosphate; Delta3-Methyl-3-butenyl diphosphate
cpd:C00130	IMP; Inosinic acid; Inosine monophosphate; Inosine 5'-monophosphate; Inosine 5'-phosphate; 5'-Inosinate; 5'-Inosinic acid; 5'-Inosine monophosphate; 5'-IMP
cpd:C00131	dATP; 2'-Deoxyadenosine 5'-triphosphate; Deoxyadenosine 5'-triphosphate; Deoxyadenosine triphosphate
cpd:C00132	Methanol; Methyl alcohol; CH3OH
cpd:C00133	D-Alanine; D-2-Aminopropionic acid; D-Ala
cpd:C00134	Putrescine; 1,4-Butanediamine; 1,4-Diaminobutane; Tetramethylenediamine; Butane-1,4-diamine
cpd:C00135	L-Histidine; (S)-alpha-Amino-1H-imidazole-4-propionic acid
cpd:C00136	Butanoyl-CoA; Butyryl-CoA
cpd:C00137	myo-Inositol; D-myo-Inositol; 1D-myo-Inositol; L-myo-Inositol; 1L-myo-Inositol; meso-Inositol; Inositol; Dambose; Cyclohexitol; Meat sugar; Bios I
cpd:C00138	Reduced ferredoxin; Reduced ferredoxin [iron-sulfur] cluster
cpd:C00139	Oxidized ferredoxin; Oxidized ferredoxin [iron-sulfur] cluster
cpd:C00140	N-Acetyl-D-glucosamine; N-Acetylchitosamine; 2-Acetamido-2-deoxy-D-glucose; GlcNAc
cpd:C00141	3-Methyl-2-oxobutanoic acid; 3-Methyl-2-oxobutyric acid; 3-Methyl-2-oxobutanoate; 2-Oxo-3-methylbutanoate; 2-Oxoisovalerate; 2-Oxoisopentanoate; alpha-Ketovaline; 2-Ketovaline; 2-Keto-3-methylbutyric acid
cpd:C00143	5,10-Methylenetetrahydrofolate; (6R)-5,10-Methylenetetrahydrofolate; 5,10-Methylene-THF
cpd:C00144	GMP; Guanosine 5'-phosphate; Guanosine monophosphate; Guanosine 5'-monophosphate; Guanylic acid
cpd:C00145	Thiol; Mercaptan
cpd:C00146	Phenol; Benzenol; Hydroxybenzene; Phenic acid; Phenylic acid
cpd:C00147	Adenine; 6-Aminopurine
cpd:C00148	L-Proline; 2-Pyrrolidinecarboxylic acid
cpd:C00149	(S)-Malate; L-Malate; L-Apple acid; L-Malic acid; L-2-Hydroxybutanedioic acid; Malate; Malic acid
cpd:C00150	Molybdenum
cpd:C00151	L-Amino acid; L-2-Amino acid
cpd:C00152	L-Asparagine; 2-Aminosuccinamic acid
cpd:C00153	Nicotinamide; Nicotinic acid amide; Niacinamide; Vitamin PP
cpd:C00154	Palmitoyl-CoA; Hexadecanoyl-CoA
cpd:C00155	L-Homocysteine; L-2-Amino-4-mercaptobutyric acid; Homocysteine
cpd:C00156	4-Hydroxybenzoate; Hydroxybenzoic acid; 4-Hydroxybenzoic acid; Hydroxybenzenecarboxylic acid
cpd:C00157	Phosphatidylcholine; Lecithin; Phosphatidyl-N-trimethylethanolamine; 1,2-Diacyl-sn-glycero-3-phosphocholine; Choline phosphatide; 3-sn-Phosphatidylcholine
cpd:C00158	Citrate; Citric acid; 2-Hydroxy-1,2,3-propanetricarboxylic acid; 2-Hydroxytricarballylic acid
cpd:C00159	D-Mannose; Mannose; Seminose; Carubinose
cpd:C00160	Glycolate; Glycolic acid; Hydroxyacetic acid
cpd:C00161	2-Oxo acid; 2-Oxocarboxylate; 2-Oxocarboxylic acid; 2-Oxo carboxylate
cpd:C00162	Fatty acid
cpd:C00163	Propanoate; Propionate; Propanoic acid; Propionic acid
cpd:C00164	Acetoacetate; 3-Oxobutanoic acid; beta-Ketobutyric acid; Acetoacetic acid
cpd:C00165	Diacylglycerol; Diglyceride
cpd:C00166	Phenylpyruvate; Phenylpyruvic acid; alpha-Ketohydrocinnamic acid; keto-Phenylpyruvate; 3-Phenyl-2-oxopropanoate; 2-Oxo-3-phenylpropanoate
cpd:C00167	UDP-glucuronate; UDPglucuronate; UDP-D-glucuronate; UDP-alpha-D-glucuronate
cpd:C00168	Hydroxypyruvate; Hydroxypyruvic acid; 3-Hydroxypyruvate; 3-Hydroxypyruvic acid
cpd:C00169	Carbamoyl phosphate
cpd:C00170	5'-Methylthioadenosine; Methylthioadenosine; S-Methyl-5'-thioadenosine; 5-Methylthioadenosine; 5'-Deoxy-5'-(methylthio)adenosine; Thiomethyladenosine; MTA
cpd:C00171	5'-Phosphomononucleotide; 5'-Nucleotide
cpd:C00172	3'-Phosphooligonucleotide
cpd:C00173	Acyl-[acyl-carrier protein]
cpd:C00174	Acid
cpd:C00175	Cobalt ion; Cobalt(2+); Co2+; Co(II)
cpd:C00176	Flavin
cpd:C00177	Cyanide ion; Prussiate; CN-; Cyano; Cyanide
cpd:C00178	Thymine; 5-Methyluracil
cpd:C00179	Agmatine; (4-Aminobutyl) guanidine
cpd:C00180	Benzoate; Benzoic acid; Benzenecarboxylic acid; Phenylformic acid; Dracylic acid
cpd:C00181	D-Xylose; Wood sugar
cpd:C00182	Glycogen
cpd:C00183	L-Valine; 2-Amino-3-methylbutyric acid
cpd:C00184	Glycerone; Dihydroxyacetone; 1,3-Dihydroxyacetone; 1,3-Dihydroxy-2-propanone; 1,3-Dihydroxypropan-2-one
cpd:C00185	Cellobiose; 1-beta-D-Glucopyranosyl-4-D-glucopyranose
cpd:C00186	(S)-Lactate; L-Lactate; L-Lactic acid
cpd:C00187	Cholesterol; Cholest-5-en-3beta-ol
cpd:C00188	L-Threonine; 2-Amino-3-hydroxybutyric acid
cpd:C00189	Ethanolamine; Aminoethanol; 2-Hydroxyethylamine
cpd:C00190	UDP-D-xylose; UDP-xylose; UDP-alpha-D-xylose
cpd:C00191	D-Glucuronate; Glucuronic acid; Glucuronate
cpd:C00192	Hydroxylamine; NH2OH
cpd:C00193	Aromatic aldehyde
cpd:C00194	Cobamide coenzyme; Adenosylcobalamin; Adenosylcob(III)alamin; Deoxyadenosylcobalamin; Cobamamide; Vitamin B12 coenzyme; 5,6-Dimethylbenzimidazolyl-5-deoxyadenosyl-cobamide; (5'-Deoxy-5'-adenosyl)cobamide coenzyme; (5,6-Dimethylbenzimidazolyl)cobamide coenzyme; alpha-(5,6-Dimethylbenzimidazolyl)cobamide coenzyme; 5'-Deoxy-5'-adenosylcobalamin; 5'-Deoxy-5'-adenosyl vitamin B12; 5'-Deoxy-5'-adenosyl-5,6-dimethylbenzimidazolylcobamide; 5,6-Dimethylbenzimidazolyl-Co-5'-deoxy-5'-adenosylcobamide; Calomide; Cobalamin coenzyme; Coenzyme B12; DMBC coenzyme; Dibencozide; Funacomide
cpd:C00195	N-Acylsphingosine; Ceramide; N-Acylsphing-4-enine; (4E)-Sphing-4-enine ceramide
cpd:C00196	2,3-Dihydroxybenzoate; 2,3-Dihydroxybenzoic acid
cpd:C00197	3-Phospho-D-glycerate; D-Glycerate 3-phosphate; 3-Phospho-(R)-glycerate; 3-Phosphoglycerate
cpd:C00198	D-Glucono-1,5-lactone; Gluconic lactone; Gluconic acid lactone; 1,5-Gluconolactone; delta-Gluconolactone; D-Gluconolactone; Gluconolactone
cpd:C00199	D-Ribulose 5-phosphate
cpd:C00200	Phenazine methosulfate; N-Methylphenazonium methosulfate; 5-Methylphenazinium methyl sulphate
cpd:C00201	Nucleoside triphosphate; NTP; Nucleoside 5'-triphosphate
cpd:C00202	Isoflurophate; Diisopropyl fluorophosphate; DFP
cpd:C00203	UDP-N-acetyl-D-galactosamine; UDP-N-acetyl-alpha-D-galactosamine
cpd:C00204	2-Dehydro-3-deoxy-D-gluconate; 2-Keto-3-deoxy-D-gluconate
cpd:C00205	hn; Light; Photon; hnu
cpd:C00206	dADP; 2'-Deoxyadenosine 5'-diphosphate
cpd:C00207	Acetone; Dimethyl ketone; 2-Propanone
cpd:C00208	Maltose; Malt sugar; alpha-D-Glucopyranosyl-(1->4)-D-glucopyranose
cpd:C00209	Oxalate; Oxalic acid; Ethanedioic acid
cpd:C00210	Cobamide
cpd:C00211	Collagen
cpd:C00212	Adenosine
cpd:C00213	Sarcosine; N-Methylglycine
cpd:C00214	Thymidine; Deoxythymidine
cpd:C00215	Nucleotide
cpd:C00216	D-Arabinose
cpd:C00217	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid
cpd:C00218	Methylamine; Methanamine
cpd:C00219	Arachidonate; Arachidonic acid; (5Z,8Z,11Z,14Z)-Icosatetraenoic acid; cis-5,8,11,14-Eicosatetraenoic acid
cpd:C00220	Methylene blue; Methylthioninium chloride
cpd:C00221	beta-D-Glucose
cpd:C00222	3-Oxopropanoate; Malonate semialdehyde
cpd:C00223	p-Coumaroyl-CoA; 4-Coumaroyl-CoA; 4-Hydroxycinnamoyl-CoA
cpd:C00224	Adenylyl sulfate; Adenosine 5'-phosphosulfate; APS; 5'-Adenylyl sulfate
cpd:C00225	Methyl viologen; Paraquat dichloride; 1,1'-Dimethyl-4,4'-bipyridinium dichloride
cpd:C00226	Primary alcohol; 1-Alcohol
cpd:C00227	Acetyl phosphate
cpd:C00229	Acyl-carrier protein; ACP; [Acyl-carrier protein]; Holo-[acyl-carrier protein]
cpd:C00230	3,4-Dihydroxybenzoate; 3,4-Dihydroxybenzoic acid; Protocatechuate; Protocatechuic acid
cpd:C00231	D-Xylulose 5-phosphate
cpd:C00232	Succinate semialdehyde; Succinic semialdehyde; 4-Oxobutanoate
cpd:C00233	4-Methyl-2-oxopentanoate; 2-Oxoisocaproate
cpd:C00234	10-Formyltetrahydrofolate; 10-Formyl-THF
cpd:C00235	Dimethylallyl diphosphate; 2-Isopentenyl diphosphate; Delta2-Isopentenyl diphosphate; Dimethylallyl pyrophosphate; DMAPP; Monoprenyl diphosphate; Prenyl diphosphate
cpd:C00236	3-Phospho-D-glyceroyl phosphate; 1,3-Bisphospho-D-glycerate; (R)-2-Hydroxy-3-(phosphonooxy)-1-monoanhydride with phosphoric propanoic acid; D-Glycerate 1,3-diphosphate
cpd:C00237	CO; Carbon monoxide
cpd:C00238	Potassium cation; K+; Potassium(1+); Potassium ion
cpd:C00239	dCMP; Deoxycytidylic acid; Deoxycytidine monophosphate; Deoxycytidylate; 2'-Deoxycytidine 5'-monophosphate
cpd:C00240	rRNA; Ribosomal RNA
cpd:C00241	Amide
cpd:C00242	Guanine; 2-Amino-6-hydroxypurine
cpd:C00243	Lactose; 1-beta-D-Galactopyranosyl-4-D-glucopyranose; beta-D-Gal-(1->4)-D-Glc; Milk sugar
cpd:C00244	Nitrate; Nitric acid
cpd:C00245	Taurine; 2-Aminoethanesulfonic acid; Aminoethylsulfonic acid
cpd:C00246	Butanoic acid; Butanoate; Butyrate; Butyric acid
cpd:C00247	L-Sorbose; L-xylo-Hexulose
cpd:C00248	Lipoamide; Thioctic acid amide
cpd:C00249	Hexadecanoic acid; Hexadecanoate; Hexadecylic acid; Palmitic acid; Palmitate; Cetylic acid
cpd:C00250	Pyridoxal
cpd:C00251	Chorismate; Chorismic acid; (3R,4R)-3-[(1-Carboxyethenyl)oxy]-4-hydroxycyclohexa-1,5-diene-1-carboxylate
cpd:C00252	Isomaltose; Brachiose
cpd:C00253	Nicotinate; Nicotinic acid; Niacin; 3-Pyridinecarboxylic acid
cpd:C00254	Prephenate; Prephenic acid
cpd:C00255	Riboflavin; Lactoflavin; 7,8-Dimethyl-10-ribitylisoalloxazine; Vitamin B2
cpd:C00256	(R)-Lactate; D-Lactate; D-Lactic acid; D-2-Hydroxypropanoic acid; D-2-Hydroxypropionic acid
cpd:C00257	D-Gluconic acid; D-Gluconate; D-gluco-Hexonic acid
cpd:C00258	D-Glycerate; Glycerate; (R)-Glycerate; Glyceric acid
cpd:C00259	L-Arabinose; L-Arabinopyranose
cpd:C00261	Benzaldehyde; Benzoic aldehyde
cpd:C00262	Hypoxanthine; Purine-6-ol
cpd:C00263	L-Homoserine; 2-Amino-4-hydroxybutyric acid
cpd:C00264	3-Oxoacyl-CoA
cpd:C00265	Dithiothreitol; 1,4-Dithiothreitol; threo-1,4-Dimercapto-2,3-butanediol; DL-threo-1,4-Dimercapto-2,3-butanediol
cpd:C00266	Glycolaldehyde; Hydroxyacetaldehyde
cpd:C00267	alpha-D-Glucose
cpd:C00268	Dihydrobiopterin; 6,7-Dihydrobiopterin; Quinoid-dihydrobiopterin; (6R)-6-(L-erythro-1,2-Dihydroxypropyl)-7,8-dihydro-6H-pterin
cpd:C00269	CDP-diacylglycerol; CDP-1,2-diacylglycerol; 1,2-Diacyl-sn-glycero-3-cytidine-5'-diphosphate
cpd:C00270	N-Acetylneuraminate; N-Acetylneuraminic acid; 5-Acetamido-3,5-dideoxy-D-glycero-D-galacto-2-nonulosonic acid; Neu5Ac
cpd:C00272	Tetrahydrobiopterin; 5,6,7,8-Tetrahydrobiopterin; 2-Amino-6-(1,2-dihydroxypropyl)-5,6,7,8-tetrahydoro-4(1H)-pteridinone; L-erythro-Tetrahydrobiopterin
cpd:C00273	5-Dehydro-D-fructose
cpd:C00275	D-Mannose 6-phosphate
cpd:C00279	D-Erythrose 4-phosphate
cpd:C00280	Androstenedione; Androst-4-ene-3,17-dione; 4-Androstene-3,17-dione
cpd:C00282	Hydrogen; H2
cpd:C00283	Hydrogen sulfide; Hydrogen-sulfide; H2S; Sulfide
cpd:C00284	EDTA; Ethylenediaminetetraacetic acid; Edetic acid; Ethylenediaminetetraacetate
cpd:C00286	dGTP; 2'-Deoxyguanosine 5'-triphosphate; Deoxyguanosine 5'-triphosphate; Deoxyguanosine triphosphate
cpd:C00288	HCO3-; Bicarbonate; Hydrogen carbonate; Acid carbonate
cpd:C00290	Fibrin
cpd:C00291	Nickel
cpd:C00292	Aniline; Phenylamine; Benzenamine; Arylamine
cpd:C00294	Inosine
cpd:C00295	Orotate; Orotic acid; Uracil-6-carboxylic acid
cpd:C00296	Quinate; Quinic acid; Kinic acid; Chinic acid; L-Quinic acid; L-Quinate; (-)-Quinic acid
cpd:C00297	Sulfide; Thioether
cpd:C00298	Trypsin; Trypsin crystallized
cpd:C00299	Uridine
cpd:C00300	Creatine; alpha-Methylguanidino acetic acid; Methylglycocyamine
cpd:C00301	ADP-ribose; ADP-D-ribose; Adenosine diphosphate ribose
cpd:C00302	Glutamate; Glutaminic acid; 2-Aminoglutaric acid
cpd:C00303	Glutamine; 2-Aminoglutaramic acid
cpd:C00304	Kanamycin
cpd:C00305	Magnesium cation; Mg2+; Magnesium(2+); Magnesium ion
cpd:C00306	Bradykinin
cpd:C00307	CDP-choline; Cytidine 5'-diphosphocholine; Citicoline
cpd:C00308	Canavanine; L-Canavanine; 2-Amino-4-(guanidinooxy)butyric acid
cpd:C00309	D-Ribulose; D-erythro-2-Pentulose; D-Arabinoketose; D-Arabinulose; D-Riboketose
cpd:C00310	D-Xylulose; D-threo-Pentulose; D-Lyxulose
cpd:C00311	Isocitrate; Isocitric acid; 1-Hydroxytricarballylic acid; 1-Hydroxypropane-1,2,3-tricarboxylic acid
cpd:C00312	L-Xylulose; L-threo-Pentulose; L-Lyxulose
cpd:C00313	Oxalyl-CoA
cpd:C00314	Pyridoxine; Pyridoxol
cpd:C00315	Spermidine; N-(3-Aminopropyl)-1,4-butane-diamine
cpd:C00317	Amylopectin
cpd:C00318	L-Carnitine; L-gamma-Trimethyl-beta-hydroxybutyrobetaine; Vitamin BT; 3-Carboxy-2-hydroxy-N,N,N-trimethyl-1-propanaminium hydroxide, inner salt; Levocarnitine; (R)-Carnitine
cpd:C00319	Sphingosine; Sphingenine; Sphingoid; Sphing-4-enine
cpd:C00320	Thiosulfate; Hyposulfite
cpd:C00322	2-Oxoadipate; 2-Oxoadipic acid
cpd:C00323	Caffeoyl-CoA; (2E)-3-(3,4-Dihydroxyphenyl)prop-2-enoyl-CoA
cpd:C00324	Ferricyanide; Hexacyanoferrate(III)
cpd:C00325	GDP-L-fucose; GDP-beta-L-fucose
cpd:C00326	Glycoprotein
cpd:C00327	L-Citrulline; 2-Amino-5-ureidovaleric acid; Citrulline
cpd:C00328	L-Kynurenine; 3-Anthraniloyl-L-alanine
cpd:C00329	D-Glucosamine; Chitosamine; 2-Amino-2-deoxy-D-glucose
cpd:C00330	Deoxyguanosine; 2'-Deoxyguanosine
cpd:C00331	Indolepyruvate; Indolepyruvic acid; (Indol-3-yl)pyruvate; Indole-3-pyruvate; 3-(Indol-3-yl)pyruvate
cpd:C00332	Acetoacetyl-CoA; Acetoacetyl coenzyme A; 3-Acetoacetyl-CoA
cpd:C00333	D-Galacturonate; D-Galacturonic acid
cpd:C00334	4-Aminobutanoate; 4-Aminobutanoic acid; 4-Aminobutyrate; 4-Aminobutyric acid; gamma-Aminobutyric acid; GABA
cpd:C00337	(S)-Dihydroorotate; (S)-4,5-Dihydroorotate; L-Dihydroorotate; L-Dihydroorotic acid; Dihydro-L-orotic acid
cpd:C00338	Lipopolysaccharide; LPS
cpd:C00339	Long-chain alcohol
cpd:C00340	Reduced rubredoxin
cpd:C00341	Geranyl diphosphate
cpd:C00342	Thioredoxin; Reduced thioredoxin
cpd:C00343	Thioredoxin disulfide; Oxidized thioredoxin; Thioredoxin sulfide
cpd:C00344	Phosphatidylglycerol; 3-(3-sn-Phosphatidyl)glycerol; 3(3-Phosphatidyl-)glycerol; PtdGro
cpd:C00345	6-Phospho-D-gluconate
